StartDate,StartTime,EndTime,Cycle,Animal,Age_months,Genotype,id_code,Sex,InitMass_g,BP_kPa,EvniroLightLux,TempC,RH_pct,AC2_TempC,Avg_EE,Tot_EE,Avg_VO2,Avg_VCO2,Avg_RQ,Avg_VH2O,R_EE_30,R_RER_30,QR_EE_30,QR_RER_30,A_EE_15,A_RER_15,QA_EE_15,QA_RER_15,UptakeA_g,UptakeA_N,UptakeA_Sum,UptakeA_min,InterUptakeA_min,uptakeW_g,uptakeW_N,uptakeW_Sum,uptakeW_min,InteruptakeW_min,BodyMass_g,BodyMass_SD,YBreaks,XBreaks,ZBreaks,AllMeters,PedMeters,PedSpeed,Walk_pct,Still_pct,Sleep_pct,Sleep_hrs
5/22/23,17:30:00,18:00:00,26,1,.,.,.,.,.,99.69368,0,.,.,23.79383,0.5177905,0.2588926,1.815191,1.334695,0.7363672,0.244494,0.5177845,0.7363784,0.5177845,0.7363784,0.527389,0.7362308,0.5273751,0.7356204,0.12677,1,0.12677,28.1,0,0.00479126,2,0.00958252,0.2916667,11.88333,0,0,2050,1975,647,39.86471,37.64949,0.03346209,79.90006,10.71627,0,0
5/22/23,17:30:00,18:00:00,26,2,.,.,.,.,.,99.69368,0,.,.,23.93665,0.4838699,0.2419276,1.699022,1.237481,0.7294557,0.1889264,0.4838641,0.7294527,0.4838641,0.7294527,0.4938203,0.735193,0.4703396,0.7281604,0.01656342,4,0.06625368,4.6625,2.8,0,0,0,0,0,21.69149,0.05528401,1823,1823,767,25.8011,23.40192,0.02955257,60.18878,25.26374,10.71627,0.05361101
5/22/23,17:30:00,18:00:00,26,3,.,.,.,.,.,99.69368,0,25.62732,39.76183,24.0238,0.5276024,0.263788,1.8546,1.342128,0.7242375,0.2908471,0.5275632,0.7242243,0.5275632,0.7242243,0.53473,0.7347131,0.5313417,0.7329156,0.03657532,2,0.07315064,12.125,4.216667,0.02073669,2,0.04147338,0.325,1.966667,0,0,1875,1730,830,29.12268,26.90117,0.03214146,61.18823,20.43309,5.385897,0.02694447
5/22/23,17:30:00,18:00:00,26,4,.,.,.,.,.,99.69368,0,.,.,24.62862,0.5165418,0.2582671,1.786228,1.419084,0.795619,0.2114197,0.5165482,0.7956136,0.5165482,0.7956136,0.5335891,0.7886814,0.5224161,0.7951337,0.1400146,1,0.1400146,28.81667,0,0,0,0,0,0,22.09972,0.0198655,2016,1499,1232,37.07723,35.21442,0.03579398,67.35147,17.49028,10.27207,0.05124992
5/22/23,17:30:00,18:00:00,26,5,.,.,.,.,.,99.69368,0,.,.,24.42422,0.5820645,0.2910308,2.007246,1.618913,0.8046423,0.2973837,0.5820679,0.804668,0.5820679,0.804668,0.6147416,0.8381114,0.5767105,0.7980571,0.0135498,1,0.0135498,14.88333,0,0.0144755,3,0.0434265,1.344445,10.14167,0,0,2634,2341,611,77.40007,76.12337,0.05813642,85.1749,6.329817,0,0
5/22/23,17:30:00,18:00:00,26,6,.,.,.,.,.,99.69368,0,.,.,23.84345,0.5130229,0.256511,1.790634,1.350356,0.7549165,0.2187959,0.5130095,0.7549239,0.5130095,0.7549239,0.526231,0.7522379,0.5150002,0.7491215,0.06445313,2,0.1289063,11.20833,6.5,0.01490784,2,0.02981568,3.025,9.083333,15.61891,7.632286,1994,1989,1017,41.491,39.33127,0.03772492,74.06996,9.106052,2.443087,0.01222223
5/22/23,17:30:00,18:00:00,26,7,.,.,.,.,.,99.69368,0,.,.,23.97823,0.4084988,0.204252,1.414707,1.114787,0.7880594,0.2574103,0.4084798,0.7880073,0.4084798,0.7880073,0.4420558,0.7926176,0.4209865,0.7928808,0.06591797,1,0.06591797,19.16667,0,0.04150391,1,0.04150391,3.266667,0,0,0,1219,1438,461,18.84924,16.73766,0.02813369,43.80899,36.53526,15.71349,0.0786111
5/22/23,17:30:00,18:00:00,26,8,.,.,.,.,.,99.69368,0,.,.,23.92686,0.5353627,0.2676907,1.851954,1.4685,0.7932664,0.2662604,0.5353839,0.7932472,0.5353839,0.7932472,0.5590969,0.7891307,0.5394326,0.7836037,0.0463562,1,0.0463562,15.08333,0,0.009338379,1,0.009338379,0.35,0,0,0,1264,1106,3098,24.10794,22.52802,0.03690037,49.63909,32.92615,0,0
5/22/23,17:30:00,18:00:00,26,9,.,.,.,.,.,99.69368,0,25.50801,40.89418,24.30647,0.4851115,0.2425612,1.693842,1.274649,0.7560651,0.254618,0.4851049,0.7560753,0.4851049,0.7560753,0.5036837,0.7388234,0.4959452,0.7220478,0.04505412,3,0.1351624,7.5,2.875,0.006144206,3,0.01843262,0.2722222,3.758333,0,0,1423,1284,942,25.02509,23.11769,0.03437073,51.69351,20.54414,2.609661,0.01305556
5/22/23,17:30:00,18:00:00,26,10,.,.,.,.,.,99.69368,0,.,.,24.40081,0.5107679,0.2553889,1.754362,1.445621,0.8210154,0.2854093,0.5107371,0.8209878,0.5107371,0.8209878,0.5565073,0.8608842,0.4684236,0.7789201,0.1373291,1,0.1373291,27.63333,0,0.04078674,2,0.08157348,0.7583333,0.7666667,0,0,1409,1145,2710,16.5472,14.30184,0.02890021,42.86507,12.65963,0,0
